id,name,sector,party,role,country,ereignis
fav,Aurélien Verhassel,5,,3,französisch,
fcl,Christelle Lechevalier,1,rn,4,französisch,
fsg,Sylvie Goddyn,1,rn,4,französisch,
fnb,Nicolas Bay,1,rn,4,französisch,
fnc,Nicolas Crochet,6,,4,französisch,
ffc,Frederic Chatillon,6,rn,4,französisch,
fmmlp,Marion Marechal Le Pen,2,rn,4,französisch,
fre,Romain Espino,5,,2,französisch,
fmlp,Marine Le Pen,2,rn,5,französisch,
fsc,Sebastian Chenu,2,rn,4,französisch,
fpe,Phillipe Eymery,3,rn,6,französisch,
fpl,Pierre Larti ,5,,3,französisch,
frm,Remi Meurin ,3,rn,3,französisch,
citadelle,Bar La Citadelle,,,,französisch,ja
fdl,Damien Lefèvre ,5,,3,französisch,
fjb,Jordan Bardella,2,rn,5,französisch,
fcg,Clément Gandelin,5,,2,französisch,
fpv,Philippe Vardon,3,rn,3,französisch,
fpo,Phillippe Olivier,1,rn,5,französisch,
fecd,Eric Cattelin-Denu,3,rn,6,französisch,
frf,Remi Falize,5,,3,französisch,
fate,Anne-Thaïs du Tertre d'Escoeuffant,,,3,französisch,
ffs,Flora Salacroup,,rn,3,französisch,
fjp,Jérémie Piano,,rn,2,französisch,
fsr,Stéphane Ravier,,rn,5,französisch,
fgb,Gaétan Bertrand,,rn,3,französisch,
fgc,Gilbert Collard,1,rn,3,französisch,
fcg,Clément Galant,,,2,französisch,
fgp,Guillaume Pradoura,,,3,französisch,
